Título;Gênero;Rótulos de Gênero;Pré-estreia;Temporadas;Temporadas Analisadas;Episódios Analisados;Duração;Duração Mínima;Duração Máxima;Status;Ativo;Tabela;Linguagem;Data de Inclusão;Data de Alteração
November 13: Attack on Paris;documentary;documentary;2018-06-01;3 episodes;0;3;47–59 min.;47;59;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Haters Back Off;comedy;comedy;2016-10-14;2 seasons, 16 episodes;2;16;24–36 min.;24;36;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Estocolmo;crime drama;crime,drama;2016-11-11;1 season, 13 episodes;1;13;37–49 min.;37;49;Ended;0;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Car Masters: Rust to Riches;motoring television series;motoring,television,series;2018-09-14;1 season, 8 episodes;1;8;31–40 min.;31;40;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chelsea;late-night;late-night;2016-05-11;2 seasons, 120 episodes;2;120;27–64 min.;27;64;Ended;0;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
My Next Guest Needs No Introduction with David Letterman;interview;interview;2018-01-12;2 seasons, 12 episodes;2;12;41–58 min.;41;58;Pending;1;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Busted!;korean language variety show;korean,language,variety,show;2018-05-04;1 season, 10 episodes;1;10;75–98 min.;75;98;Renewed;1;VarietyTalk;Korean;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Friends from College;comedy;comedy;2017-07-14;2 seasons, 16 episodes;2;16;26–34 min.;26;34;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Pinky Malinky;childrens-animation;childrens-animation;2019-01-01;2 parts, 44 episodes;0;44;12–23 min.;12;23;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Explained;docu-series;docu-series;2018-05-23;1 season, 20 episodes;1;20;14–20 min.;14;20;Renewed;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Our Planet;nature documentary;nature,documentary;2019-04-05;8 episodes;0;8;49–54 min.;49;54;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Battlefish;reality;reality;2018-09-21;1 season, 8 episodes;1;8;38–46 min.;38;46;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dinotrux;childrens-animation;childrens-animation;2015-08-14;5 seasons, 52 episodes;5;52;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dark;science fiction;science-fiction;2017-12-01;2 seasons, 18 episodes;2;18;45–61 min.;45;61;Renewed;1;ForeignLanguage;German;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Shot in the Dark;true crime;true,crime;2017-11-17;1 season, 8 episodes;1;8;34–41 min.;34;41;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Turbo Fast;childrens-animation;childrens-animation;2013-12-24;3 seasons, 52 episodes;3;52;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
No Good Nick;sitcom;sitcom;2019-04-15;1 part, 10 episodes;0;10;26–32 min.;26;32;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Flaked;comedy;comedy;2016-03-11;2 seasons, 14 episodes;2;14;30–34 min.;30;34;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
F Is for Family;sitcom;sitcom;2015-12-18;3 seasons, 26 episodes;3;26;25–28 min.;25;28;Renewed;1;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
VeggieTales in the House;childrens-animation;childrens-animation;2014-11-26;4 seasons, 52 episodes;4;52;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Fearless;sport;sport;2016-08-19;6 episodes;0;6;50–58 min.;50;58;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Medal of Honor;docu-series;docu-series;2018-11-09;1 season, 8 episodes;1;8;46–61 min.;46;61;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Hook Up Plan;romantic comedy;romantic,comedy;2018-12-07;1 season, 8 episodes;1;8;24–29 min.;24;29;Renewed;1;ForeignLanguage;French;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
My First First Love;romantic comedy;romantic,comedy;2019-04-18;1 season, 8 episodes;1;8;46–56 min.;46;56;Renewed;1;ForeignLanguage;Korean;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Roman Empire;historical drama;historical,drama;2016-11-11;3 seasons, 15 episodes;3;15;38–48 min.;38;48;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Disjointed;comedy;comedy;2017-08-25;2 parts, 20 episodes;0;20;23–32 min.;23;32;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
How to Sell Drugs Online (Fast);dark comedy;dark,comedy;2019-05-31;1 season, 6 episodes;1;6;24–32 min.;24;32;Pending;1;ForeignLanguage;German;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Killer Ratings;docu-series;docu-series;2019-05-31;1 season, 7 episodes;1;7;42–58 min.;42;58;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Wet Hot American Summer: Ten Years Later;satirical comedy;satirical,comedy;2017-08-04;8 episodes;0;8;24–31 min.;24;31;Miniseries;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Family Reunion[64];comedy;comedy;2019-07-10;a ser anunciado;0;0;TBA;0;0;Pending;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Godless;western;western;2017-11-22;7 episodes;0;7;41–80 min.;41;80;Miniseries;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Seven Seconds;crime drama;crime,drama;2018-02-23;1 season, 10 episodes;1;10;54–80 min.;54;80;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Ranch;sitcom;sitcom;2016-04-01;6 parts, 60 episodes;0;60;25–36 min.;25;36;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Crime Diaries: The Candidate;crime anthology series;crime,anthology,series;2019-03-22;8 episodes;0;8;32–48 min.;32;48;Miniseries;0;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Trigger Warning with Killer Mike;docu-series;docu-series;2019-01-18;1 season, 6 episodes;1;6;22–27 min.;22;27;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Sugar Rush;baking competition;baking,competition;2018-07-13;1 season, 8 episodes;1;8;51–55 min.;51;55;Renewed;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chilling Adventures of Sabrina;supernatural coming-of-age horror;supernatural,coming-of-age,horror;2018-10-26;2 parts, 20 episodes;0;20;50–64 min.;50;64;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Lost Song;musical fantasy;musical,fantasy;2018-03-31;1 season, 12 episodes;1;12;23–24 min.;23;24;Ended;0;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Ultraman;science fiction;science-fiction;2019-04-01;1 season, 13 episodes;1;13;23–25 min.;23;25;Renewed;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Chosen One;thriller drama;thriller,drama;2019-06-28;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Portuguese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Five Came Back;historical drama;historical,drama;2017-03-31;3 episodes;0;3;59–69 min.;59;69;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Iron Fist;martial arts/business drama;martial,arts,business,drama;2017-03-17;2 seasons, 23 episodes;2;23;49–61 min.;49;61;Ended;0;Marvel;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Rilakkuma and Kaoru;stop motion slice of life;stop,motion,slice,of,life;2019-04-19;1 season, 13 episodes;1;13;11–14 min.;11;14;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Girls Incarcerated;documentary;documentary;2018-03-02;2 seasons, 16 episodes;2;16;37–47 min.;37;47;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Luna Petunia;childrens-animation;childrens-animation;2016-12-09;3 seasons, 22 episodes;3;22;23–24 min.;23;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
We're Lalaloopsy;childrens-animation;childrens-animation;2017-01-10;1 season, 13 episodes;1;13;22 min.;22;22;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Hemlock Grove;horror/thriller;horror,thriller;2013-04-19;3 seasons, 33 episodes;3;33;45–58 min.;45;58;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
GLOW;comedy;comedy;2017-06-23;2 seasons, 20 episodes;2;20;27–46 min.;27;46;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
First Team: Juventus;sport;sport;2018-02-16;2 parts, 6 episodes;0;6;37–42 min.;37;42;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Love;romantic comedy;romantic,comedy;2016-02-19;3 seasons, 34 episodes;3;34;24–40 min.;24;40;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Family Business;comedy;comedy;2019-06-28;a ser anunciado;0;0;29 min.;0;0;Pending;1;ForeignLanguage;French;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Ozark;crime drama;crime,drama;2017-07-21;2 seasons, 20 episodes;2;20;52–80 min.;52;80;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Another Life;science-fiction;science-fiction;2019-07-25;a ser anunciado;0;0;TBA;0;0;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Naked Director;drama;drama;2019-08-08;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Japanese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Losers;sport;sport;2019-03-01;1 collection, 8 episodes;0;8;25–37 min.;25;37;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Amazing Interiors;reality;reality;2018-07-20;1 season, 12 episodes;1;12;21–28 min.;21;28;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Rapture;documentary;documentary;2018-03-30;1 season, 8 episodes;1;8;52–63 min.;52;63;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Super Monsters;childrens-animation;childrens-animation;2017-10-13;2 seasons, 16 episodes;2;16;22–23 min.;22;23;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Selection Day;drama;drama;2018-12-28;1 season, 12 episodes;1;12;19–28 min.;19;28;Pending;1;ForeignLanguage;Hindi;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Marching Orders;docu-series;docu-series;2018-08-03;1 season, 12 episodes;1;12;9–14 min.;9;14;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Lego Bionicle: The Journey to One;childrens-animation;childrens-animation;2016-03-04;2 seasons, 5 episodes;2;5;22 min.;22;22;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Julie's Greenroom;educational;educational;2017-03-17;1 season, 13 episodes;1;13;27–34 min.;27;34;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Cable Girls;period drama;period,drama;2017-04-28;3 seasons, 24 episodes;3;24;41–63 min.;41;63;Renewed;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Jinn;fantasy adventure;fantasy,adventure;2019-06-13;1 season, 5 episodes;1;5;25–47 min.;25;47;Pending;1;ForeignLanguage;Arabic;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Follow This;docu-series;docu-series;2018-08-23;3 parts, 20 episodes;0;20;15–20 min.;15;20;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Love, Death & Robots;anthology;anthology;2019-03-15;1 volume, 18 episodes;0;18;6–17 min.;6;17;Renewed;1;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Sintonia;drama;drama;2019-08-09;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Portuguese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Daughters of Destiny;documentary;documentary;2017-07-28;4 episodes;0;4;56–65 min.;56;65;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Sex Education;coming-of-age comedy-drama;coming-of-age,comedy-drama;2019-01-11;1 season, 8 episodes;1;8;47–53 min.;47;53;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Hollow;childrens-animation;childrens-animation;2018-06-08;1 season, 10 episodes;1;10;24 min.;24;24;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Protector;supernatural mystery;supernatural,mystery;2018-12-14;2 seasons, 18 episodes;2;18;31–51 min.;31;51;Renewed;1;ForeignLanguage;Turkish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Easy;romantic comedy anthology;romantic,comedy,anthology;2016-09-22;3 seasons, 25 episodes;3;25;26–52 min.;26;52;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Made In Mexico;spanish language reality series;spanish,language,reality,series;2018-09-28;1 season, 8 episodes;1;8;45–54 min.;45;54;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Prince of Peoria;sitcom;sitcom;2018-11-16;2 parts, 16 episodes;0;16;24–28 min.;24;28;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
True: Magical Friends;childrens-animation;childrens-animation;2018-06-15;1 season, 5 episodes;1;5;24 min.;24;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Élite;crime teen drama;crime,teen,drama;2018-10-05;1 season, 8 episodes;1;8;47–56 min.;47;56;Renewed;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Street Food;culinary art;culinary,art;2019-04-26;1 season, 9 episodes;1;9;30–34 min.;30;34;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
I Think You Should Leave with Tim Robinson;sketch comedy;sketch,comedy;2019-04-23;1 season, 6 episodes;1;6;16–18 min.;16;18;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Disappearance of Madeleine McCann;true crime;true,crime;2019-03-15;8 episodes;0;8;43–65 min.;43;65;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
She-Ra and the Princesses of Power;childrens-animation;childrens-animation;2018-11-13;2 seasons, 20 episodes;2;20;24 min.;24;24;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Final Table;culinary competition;culinary,competition;2018-11-20;1 season, 10 episodes;1;10;48–60 min.;48;60;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Grace and Frankie;comedy-drama;comedy-drama;2015-05-08;5 seasons, 65 episodes;5;65;25–35 min.;25;35;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Coach Snoop;sport;sport;2018-02-02;1 season, 8 episodes;1;8;28–30 min.;28;30;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Stranger Things;science fiction/horror;science-fiction,horror;2016-07-15;2 seasons, 17 episodes;2;17;42–62 min.;42;62;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Lost in Space;science fiction;science-fiction;2018-04-13;1 season, 10 episodes;1;10;48–66 min.;48;66;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
She's Gotta Have It;comedy-drama;comedy-drama;2017-11-23;2 seasons, 19 episodes;2;19;32–38 min.;32;38;Pending;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Baki;martial arts;martial,arts;2018-06-25;2 parts, 26 episodes;0;26;23–24 min.;23;24;Renewed;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dinotrux Supercharged;childrens-animation;childrens-animation;2017-11-10;3 seasons, 26 episodes;3;26;24 min.;24;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Wild District;crime drama;crime,drama;2018-10-19;1 season, 10 episodes;1;10;40–48 min.;40;48;Renewed;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Punisher;crime drama/conspiracy thriller;crime,drama,conspiracy,thriller;2017-11-17;2 seasons, 26 episodes;2;26;47–58 min.;47;58;Ended;0;Marvel;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Netflix Presents: The Characters;sketch comedy;sketch,comedy;2016-03-11;1 season, 8 episodes;1;8;27–38 min.;27;38;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Making a Murderer;crime drama;crime,drama;2015-12-18;2 parts, 20 episodes;0;20;47–77 min.;47;77;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
One Day at a Time;sitcom;sitcom;2017-01-06;3 seasons, 39 episodes;3;39;25–35 min.;25;35;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
7 Seeds;science fiction;science-fiction;2019-06-28;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
All Hail King Julien;childrens-animation;childrens-animation;2014-12-19;5 seasons, 65 episodes;5;65;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Club de Cuervos;comedy-drama;comedy-drama;2015-08-07;4 seasons, 45 episodes;4;45;36–94 min.;36;94;Ended;0;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Bonding;dark comedy;dark,comedy;2019-04-24;1 season, 7 episodes;1;7;13–17 min.;13;17;Pending;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Osmosis;science fiction/drama;science-fiction,drama;2019-03-29;1 season, 8 episodes;1;8;41–45 min.;41;45;Pending;1;ForeignLanguage;French;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Salt, Fat, Acid, Heat;travel documentary;travel,documentary;2018-10-11;4 episodes;0;4;40–48 min.;40;48;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
13 Reasons Why: Beyond the Reasons;interview;interview;2017-03-31;2 seasons, 2 episodes;2;2;29–67 min.;29;67;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
True Tunes;chrildrens musical short;chrildrens,musical,short;2019-07-12;a ser anunciado;0;0;TBA;0;0;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dawn of the Croods;childrens-animation;childrens-animation;2015-12-24;4 seasons, 52 episodes;4;52;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
When They See Us;drama;drama;2019-05-31;4 episodes;0;4;64–88 min.;64;88;Miniseries;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Santa Clarita Diet;comedy-horror;comedy-horror;2017-02-03;3 seasons, 30 episodes;3;30;26–35 min.;26;35;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Knights of the Zodiac: Saint Seiya;action;action;2019-07-19;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
VeggieTales in the City;childrens-animation;childrens-animation;2017-02-24;2 seasons, 26 episodes;2;26;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Wet Hot American Summer: First Day of Camp;satirical comedy;satirical,comedy;2015-07-31;8 episodes;0;8;27–30 min.;27;30;Miniseries;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The OA;mystery;mystery;2016-12-16;2 parts, 16 episodes;0;16;31–71 min.;31;71;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Rain;post-apocalyptic drama;post-apocalyptic,drama;2018-05-04;2 seasons, 14 episodes;2;14;36–49 min.;36;49;Renewed;1;ForeignLanguage;Danish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
House of Cards;political drama;political,drama;2013-02-01;6 seasons, 73 episodes;6;73;42–59 min.;42;59;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Aggretsuko;comedy;comedy;2018-04-20;2 seasons, 20 episodes;2;20;15–20 min.;15;20;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Queer Eye;makeover reality;makeover,reality;2018-02-07;3 seasons, 24 episodes;3;24;43–52 min.;43;52;Renewed;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Shadow;thriller;thriller;2019-03-08;1 season, 8 episodes;1;8;40–49 min.;40;49;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Dragon Prince;childrens-animation;childrens-animation;2018-09-14;2 seasons, 18 episodes;2;18;25–27 min.;25;27;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Afflicted;docu-series;docu-series;2018-08-10;1 season, 7 episodes;1;7;37–46 min.;37;46;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Kong: King of the Apes;childrens-animation;childrens-animation;2016-04-15;2 seasons, 23 episodes;2;23;22–85 min.;22;85;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Beyond Stranger Things;aftershow;aftershow;2017-10-27;1 season, 7 episodes;1;7;15–25 min.;15;25;Pending;1;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Tidelands;supernatural crime drama;supernatural,crime,drama;2018-12-14;1 season, 8 episodes;1;8;36–48 min.;36;48;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chambers;teen psychological thriller;teen,psychological,thriller;2019-04-26;1 season, 10 episodes;1;10;38–51 min.;38;51;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Haunting;horror anthology;horror,anthology;2018-10-12;1 season, 10 episodes;1;10;43–71 min.;43;71;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Popples;childrens-animation;childrens-animation;2015-10-30;3 seasons, 26 episodes;3;26;24 min.;24;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Alexa & Katie;sitcom;sitcom;2018-03-23;2 seasons, 23 episodes;2;23;22–30 min.;22;30;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Last Czars;docu-series;docu-series;2019-07-03;a ser anunciado;0;0;TBA;0;0;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Magic for Humans;reality;reality;2018-08-17;1 season, 6 episodes;1;6;22–25 min.;22;25;Renewed;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Fastest Car;motoring television series;motoring,television,series;2018-04-06;1 season, 8 episodes;1;8;43–52 min.;43;52;Renewed;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dancing Queen;celebrity;celebrity;2018-10-05;1 season, 8 episodes;1;8;38–46 min.;38;46;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Fuller House;sitcom;sitcom;2016-02-26;4 seasons, 57 episodes;4;57;24–36 min.;24;36;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Skylanders Academy;childrens-animation;childrens-animation;2016-10-28;3 seasons, 38 episodes;3;38;24–44 min.;24;44;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Examination of Conscience;true crime;true,crime;2019-01-25;1 season, 3 episodes;1;3;51–54 min.;51;54;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Conversations with a Killer: The Ted Bundy Tapes;true crime;true,crime;2019-01-24;4 episodes;0;4;51–74 min.;51;74;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
13 Reasons Why;teen drama/mystery;teen,drama,mystery;2017-03-31;2 seasons, 26 episodes;2;26;49–70 min.;49;70;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
