Título;Gênero;Rótulos de Gênero;Pré-estreia;Temporadas;Temporadas Analisadas;Episódios Analisados;Duração;Duração Mínima;Duração Máxima;Status;Ativo;Tabela;Linguagem;Data de Inclusão;Data de Alteração
Ultimate Beastmaster;competition;competition;2017-02-24;3 seasons, 29 episodes;3;29;41–84 min.;41;84;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The House of Flowers;comedy;comedy;2018-08-10;1 season, 13 episodes;1;13;27–37 min.;27;37;Renewed;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Mighty Little Bheem;childrens-animation;childrens-animation;2019-04-12;1 season, 21 episodes;1;21;6–7 min.;6;7;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Blazing Transfer Students;action comedy;action,comedy;2017-11-10;1 season, 8 episodes;1;8;23–28 min.;23;28;Ended;0;ForeignLanguage;Japanese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Trailer Park Boys Out of the Park: Europe;mockumentary;mockumentary;2016-10-28;1 season, 8 episodes;1;8;22–30 min.;22;30;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Spirit Riding Free;childrens-animation;childrens-animation;2017-05-05;8 seasons, 52 episodes;8;52;23 min.;23;23;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Charlie's Colorforms City;childrens-animation;childrens-animation;2019-03-22;1 season, 13 episodes;1;13;25 min.;25;25;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
YG Future Strategy Office;comedy;comedy;2018-10-05;1 season, 8 episodes;1;8;20–29 min.;20;29;Pending;1;ForeignLanguage;Korean;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Black Summer;zombie drama;zombie,drama;2019-04-11;1 season, 8 episodes;1;8;21–45 min.;21;45;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dogs;docu-series;docu-series;2018-11-16;1 season, 6 episodes;1;6;50–53 min.;50;53;Renewed;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Narcos;crime drama;crime,drama;2015-08-28;3 seasons, 30 episodes;3;30;43–60 min.;43;60;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Crown;historical drama;historical,drama;2016-11-04;2 seasons, 20 episodes;2;20;54–61 min.;54;61;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Murder Mountain;true crime;true,crime;2018-12-28;1 season, 6 episodes;1;6;43 min.;0;0;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
True: Wonderful Wishes;childrens-animation;childrens-animation;2018-06-15;1 season, 5 episodes;1;5;24 min.;24;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Epic Tales of Captain Underpants;childrens-animation;childrens-animation;2018-07-13;2 seasons, 26 episodes;2;26;24 min.;24;24;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Everything Sucks!;coming-of-age comedy;coming-of-age,comedy;2018-02-16;1 season, 10 episodes;1;10;23–27 min.;23;27;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Quicksand;crime drama;crime,drama;2019-04-05;1 season, 6 episodes;1;6;41–49 min.;41;49;Pending;1;ForeignLanguage;Swedish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
You vs. Wild;interactive reality;interactive,reality;2019-04-10;1 season, 8 episodes;1;8;14–26 min.;14;26;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Politician;comedy;comedy;2019-09-27;a ser anunciado;0;0;TBA;0;0;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Disenchantment;medieval fantasy comedy;medieval,fantasy,comedy;2018-08-17;1 part, 10 episodes;0;10;27–36 min.;27;36;Renewed;1;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
